age,tenure_months,income,household_size,logins_30d,support_tickets_90d,avg_session_mins,days_since_last_login,monthly_fee,late_payments_12m,autopay,contract,plan,add_ons,streaming,region,signup_channel,total_charges,total_charges_rounded,engagement_score,churn
34,111,43283.836558991636,3,6,1,8.01563160815462,37,75.7415437665483,1,Yes,Month-to-month,Pro,3,Both,Midwest,Web,8393.730283442717,8390.0,0.09002359726914216,0
23,74,45608.52836802204,6,14,2,10.078929525943542,44,100.95768824458361,1,Yes,One year,Basic,1,Both,South,Web,7654.510300519776,7650.0,0.1934636084327432,1
69,113,31254.97237633741,2,9,0,23.226331184638358,37,30.898615866894836,1,Yes,One year,Pro,2,Both,South,Web,3662.1953306435785,3660.0,0.17874796188664682,0
65,97,28989.989282794126,6,22,1,16.33447581556341,14,105.3548481876354,1,No,One year,Basic,3,Both,South,Phone,10144.071050575396,10140.0,0.4796654827534597,0
46,43,107671.97798337661,2,14,3,5.636187690378021,6,99.97330293896133,1,Yes,Month-to-month,Plus,0,Video,Northeast,Phone,4372.90264951066,4370.0,0.40465860555440736,0
48,88,57837.597138787554,2,8,2,16.60880501785654,18,75.52571266501491,0,Yes,Two year,Pro,3,None,West,Retail,6817.410168966417,6820.0,0.3039627349728476,0
43,74,25041.41548325571,5,11,0,8.542455712268886,9,81.03199622999809,1,Yes,One year,Pro,0,Video,West,Web,5985.089677931339,5990.0,0.3314114023193307,0
74,85,27059.613512497006,5,8,2,14.007065160108407,11,60.861415687585605,0,No,Month-to-month,Plus,1,Video,Northeast,Web,5224.14120990162,5220.0,0.24350021704653266,1
69,39,47265.929038388094,4,13,1,9.272887541145703,44,68.27205562691694,1,Yes,Month-to-month,Pro,4,Music,Northeast,Retail,2793.635526663947,2790.0,0.25557960932503443,1
60,110,,2,15,0,8.576333019384856,59,86.9702272802209,1,Yes,One year,Basic,5,Video,,Retail,9843.514904696322,9840.0,0.2041712388774249,1
54,37,50281.59189454429,5,14,1,17.94770814134514,47,71.52271231330917,2,Yes,Two year,Plus,1,Music,West,Web,2739.6444712218454,2740.0,0.31874763701859365,1
61,10,88794.96157934904,3,9,0,22.77401121983156,13,90.67611228933099,0,Yes,Two year,Pro,1,Music,West,Web,1061.6225763552877,1060.0,0.20239558410845843,0
25,109,32780.47063992971,5,11,1,20.027194971580485,12,,0,Yes,Month-to-month,Pro,2,Both,Midwest,Partner,8847.040452104864,8850.0,0.35977728093052846,0
18,54,29711.31386979044,4,18,0,8.137721750128593,50,64.29838036465992,2,No,Month-to-month,Pro,3,Video,West,Retail,3466.435258838763,3470.0,0.10737733766373186,1
57,35,46207.48385294171,5,14,0,13.300493466953714,23,83.27223611812795,1,Yes,Month-to-month,Plus,2,Video,Northeast,Partner,2913.074892193635,2910.0,0.24251933853618918,0
70,68,53014.96823318224,5,10,2,34.96138640067971,12,60.205525077026714,1,No,Month-to-month,Plus,0,Video,West,Retail,4151.644453110011,4150.0,0.3286158429768782,1
56,31,48117.72796143861,1,10,0,15.544248003777186,18,62.64858389069348,0,Yes,Month-to-month,Plus,5,Video,Midwest,Retail,1787.0402090758594,1790.0,0.28549286200275975,0
49,52,32277.704402420753,5,14,2,21.956410177331144,5,55.056344121429646,1,No,Month-to-month,Basic,1,Video,West,Phone,2963.083036076416,2960.0,0.5104978347181417,0
